Word,Order,Rank,Band,SFI,U
repertoire,1,1,1,72.452,1759
obtain,2,2,1,66.519,449
distribution,3,3,1,65.665,369
parameter,4,4,1,64.369,273
aspect,5,5,1,64.19,262
dynamic,6,6,1,63.506,224
impact,7,7,1,63.491,223
domain,8,8,1,63.467,222
publish,9,9,1,62.897,195
denote,10,10,1,62.571,181
authority,11,11,1,62.502,178
semantic,12,12,1,62.38,173
par,13,13,1,62.339,171
ion,14,14,1,62.179,165
matrix,15,15,1,62.166,165
linear,16,16,1,62.119,163
cognitive,17,17,1,62.068,161
graph,18,18,1,61.814,152
correlation,19,19,1,61.761,150
linguistic,20,20,1,61.741,149
acid,21,21,1,61.719,149
induce,22,22,1,61.652,146
velocity,23,23,1,61.636,146
interval,24,24,1,61.62,145
discourse,25,25,1,61.513,142
finite,26,26,1,61.478,141
stimulus,27,27,1,61.442,139
vector,28,28,1,61.431,139
electron,29,29,1,61.413,138
receptor,30,30,1,61.36,137
theorem,31,31,1,61.319,135
algorithm,32,32,1,61.252,133
fluid,33,33,1,61.211,132
developmental,34,34,1,61.171,131
bound,35,35,1,61.142,130
molecular,36,36,1,61.019,126
transformation,37,37,1,60.981,125
spatial,38,38,1,60.886,123
coefficient,39,39,1,60.834,121
translation,40,40,1,60.695,117
membrane,41,41,1,60.675,117
neuron,42,42,1,60.646,116
simulation,43,43,1,60.642,116
lexical,44,44,1,60.617,115
regime,45,45,1,60.528,113
variance,46,46,1,60.343,108
molecule,47,47,1,60.305,107
marker,48,48,1,60.234,106
empirical,49,49,1,60.149,103
robot,50,50,1,60.055,101
statistical,51,51,2,60,100
vowel,52,52,2,59.968,99
equilibrium,53,53,2,59.952,99
intensity,54,54,2,59.938,99
regression,55,55,2,59.918,98
diagnosis,56,56,2,59.844,96
identification,57,57,2,59.821,96
node,58,58,2,59.781,95
candidate,59,59,2,59.726,94
partial,60,60,2,59.709,94
correlate,61,61,2,59.679,93
mortality,62,62,2,59.671,93
antibody,63,63,2,59.649,92
temporal,64,64,2,59.611,91
particle,65,65,2,59.587,91
duration,66,66,2,59.577,91
behavioral,67,67,2,59.549,90
consumption,68,68,2,59.545,90
bilingual,69,69,2,59.488,89
sensitivity,70,70,2,59.471,89
similarity,71,71,2,59.459,88
optimal,72,72,2,59.411,87
explicit,73,73,2,59.389,87
mutation,74,74,2,59.374,87
colonial,75,75,2,59.37,86
spectrum,76,76,2,59.327,86
phonological,77,76,2,59.327,86
nucleus,78,78,2,59.324,86
onset,79,79,2,59.314,85
integration,80,80,2,59.263,84
dominant,81,81,2,59.25,84
pathway,82,82,2,59.216,83
coordinate,83,83,2,59.192,83
calculation,84,84,2,59.182,83
precede,85,85,2,59.163,82
subset,86,86,2,59.149,82
syntactic,87,87,2,59.143,82
orientation,88,88,2,59.133,82
proposition,89,89,2,59.126,82
inequality,90,90,2,59.111,81
identical,91,91,2,59.107,81
prevalence,92,92,2,59.103,81
differential,93,93,2,59.041,80
generalize,94,94,2,59.029,80
beam,95,95,2,59.017,80
pulse,96,96,2,59.014,80
norm,97,97,2,59.005,80
trait,98,98,2,58.974,79
prediction,99,99,2,58.96,79
correspondence,100,100,2,58.943,78
essentially,101,101,3,58.934,78
syllable,102,102,3,58.821,76
chromosome,103,103,3,58.774,75
infect,104,104,3,58.764,75
magnetic,105,105,3,58.756,75
configuration,106,106,3,58.755,75
numerical,107,107,3,58.742,75
namely,108,108,3,58.728,75
intermediate,109,109,3,58.719,74
transmission,110,110,3,58.718,74
dose,111,111,3,58.711,74
occurrence,112,112,3,58.698,74
maternal,113,113,3,58.691,74
axis,114,114,3,58.672,74
rational,115,115,3,58.661,73
locus,116,116,3,58.635,73
elite,117,117,3,58.631,73
approximation,118,118,3,58.602,72
thesis,119,119,3,58.6,72
sin,120,120,3,58.585,72
classification,121,121,3,58.542,71
threshold,122,122,3,58.516,71
syndrome,123,123,3,58.505,71
comparative,124,124,3,58.502,71
activate,125,125,3,58.462,70
adolescent,126,126,3,58.461,70
vocabulary,127,127,3,58.444,70
utterance,128,128,3,58.441,70
encode,129,128,3,58.441,70
facilitate,130,130,3,58.438,70
incidence,131,131,3,58.423,70
induction,132,132,3,58.419,69
trajectory,133,133,3,58.416,69
manuscript,134,134,3,58.407,69
commonly,135,135,3,58.322,68
grammatical,136,136,3,58.317,68
accuracy,137,137,3,58.315,68
amplitude,138,138,3,58.308,68
adaptation,139,138,3,58.308,68
cortex,140,140,3,58.305,68
minimal,141,141,3,58.279,67
systematic,142,142,3,58.275,67
horizontal,143,143,3,58.267,67
synthesis,144,144,3,58.258,67
projection,145,144,3,58.258,67
diameter,146,146,3,58.256,67
cone,147,147,3,58.244,67
dependence,148,148,3,58.237,67
organism,149,149,3,58.219,66
emergence,150,150,3,58.201,66
overlap,151,151,4,58.186,66
substitution,152,152,4,58.144,65
explicitly,153,153,4,58.124,65
evident,154,154,4,58.121,65
conceptual,155,155,4,58.113,65
detection,156,156,4,58.103,65
interact,157,157,4,58.098,65
neural,158,158,4,58.082,64
chronic,159,159,4,58.07,64
integral,160,160,4,58.063,64
enzyme,161,161,4,58.051,64
conference,162,162,4,58.044,64
conception,163,163,4,58.038,64
ex,164,164,4,58.029,64
ideology,165,165,4,58.025,63
sperm,166,166,4,58.012,63
quantitative,167,167,4,58.011,63
sphere,168,168,4,57.993,63
instability,169,169,4,57.974,63
mediate,170,170,4,57.953,62
specification,171,171,4,57.947,62
classify,172,172,4,57.937,62
physician,173,173,4,57.936,62
computation,174,174,4,57.915,62
oral,175,175,4,57.91,62
mid,176,176,4,57.909,62
indicator,177,177,4,57.895,62
variant,178,178,4,57.888,61
evolutionary,179,179,4,57.866,61
feedback,180,180,4,57.858,61
collective,181,181,4,57.824,61
arbitrary,182,182,4,57.817,60
fraction,183,183,4,57.805,60
estimation,184,184,4,57.802,60
nonlinear,185,185,4,57.795,60
deviation,186,186,4,57.786,60
compact,187,186,4,57.786,60
diagram,188,188,4,57.785,60
tropical,189,189,4,57.782,60
morphology,190,190,4,57.76,60
thereby,191,191,4,57.75,60
syntax,192,192,4,57.747,60
defect,193,193,4,57.744,59
separation,194,194,4,57.743,59
convergence,195,195,4,57.738,59
sufficiently,196,196,4,57.734,59
valid,197,197,4,57.729,59
interface,198,198,4,57.726,59
radiation,199,199,4,57.725,59
vertical,200,200,4,57.724,59
embed,201,200,5,57.724,59
acute,202,202,5,57.723,59
utility,203,203,5,57.696,59
complement,204,204,5,57.666,58
leaf,205,205,5,57.651,58
verbal,206,206,5,57.644,58
aggregate,207,207,5,57.643,58
equality,208,208,5,57.621,58
corpus,209,209,5,57.611,58
organ,210,210,5,57.603,58
gradient,211,211,5,57.599,58
methodology,212,212,5,57.595,57
entity,213,213,5,57.57,57
tumor,214,214,5,57.567,57
fiber,215,215,5,57.559,57
paradigm,216,216,5,57.547,57
psychology,217,217,5,57.534,57
infinite,218,218,5,57.52,56
diverse,219,219,5,57.487,56
diagnostic,220,220,5,57.486,56
continuity,221,221,5,57.449,56
variability,222,222,5,57.431,55
outer,223,223,5,57.423,55
notation,224,224,5,57.412,55
probe,225,225,5,57.391,55
migration,226,226,5,57.39,55
mathematical,227,227,5,57.388,55
likelihood,228,228,5,57.367,55
comparable,229,229,5,57.333,54
magnitude,230,230,5,57.307,54
array,231,231,5,57.299,54
inclusion,232,232,5,57.292,54
emission,233,233,5,57.265,53
inference,234,234,5,57.261,53
non,235,235,5,57.257,53
consciousness,236,236,5,57.241,53
simultaneously,237,237,5,57.234,53
disturbance,238,238,5,57.225,53
hierarchy,239,239,5,57.217,53
rotation,240,240,5,57.191,52
validity,241,241,5,57.181,52
periodic,242,241,5,57.181,52
archaeology,243,243,5,57.178,52
atom,244,244,5,57.173,52
modification,245,245,5,57.163,52
partition,246,246,5,57.154,52
initiate,247,247,5,57.151,52
autonomy,248,248,5,57.139,52
inhibit,249,249,5,57.126,52
consonant,250,250,5,57.118,51
biology,251,251,6,57.114,51
scenario,252,252,6,57.103,51
conditional,253,253,6,57.096,51
contrary,254,254,6,57.084,51
discrete,255,255,6,57.08,51
classroom,256,256,6,57.072,51
morphological,257,257,6,57.069,51
lateral,258,258,6,57.063,51
injection,259,259,6,57.053,51
effectiveness,260,260,6,57.05,51
insect,261,261,6,57.042,51
logical,262,262,6,57.032,50
calculus,263,263,6,57.014,50
usage,264,264,6,56.996,50
longitudinal,265,264,6,56.996,50
neutral,266,266,6,56.985,50
marginal,267,267,6,56.96,50
client,268,267,6,56.96,50
characterization,269,269,6,56.957,50
ethical,270,270,6,56.936,49
superior,271,271,6,56.934,49
approximate,272,272,6,56.929,49
composer,273,273,6,56.92,49
singular,274,274,6,56.917,49
converge,275,275,6,56.913,49
fetal,276,276,6,56.908,49
comprehension,277,277,6,56.904,49
implicit,278,278,6,56.895,49
span,279,279,6,56.893,49
oxygen,280,280,6,56.89,49
formulation,281,281,6,56.885,49
dialect,282,282,6,56.884,49
colony,283,283,6,56.871,49
immune,284,284,6,56.868,49
